8000 8000 3200 1600
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33040 33040 24280 7160
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
78200 60640 38400 20640
25480 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33120 33120 7160 24360
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
78360 60760 38480 20680
25520 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33040 33040 3200 28240
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
78360 60760 38480 20680
25520 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33080 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33040 33040 24280 7160
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
78360 60760 38480 20680
25520 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33120 33120 7160 24360
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
95880 60760 38480 20680
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33040 33040 3200 28240
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
95880 60760 38480 20680
8000 8000 3200 3200
8000 8000 3200 3200
33080 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33040 33040 24280 7160
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
89840 60760 38480 20680
14040 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33120 33120 7160 24360
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
78360 60760 38480 20680
25520 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33040 33040 3200 28240
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
78360 60760 38480 20680
25520 8000 3200 3200
8000 8000 3200 3200
40440 8000 3200 3200
8000 8000 3200 3200
24200 8000 3200 3200
27120 27120 8000 17520
17360 12680 5640 5440
414165600 195032840 435080 194596160
1202115280 514498600 911160 514639040
1697814000 855578240 1576620 852948080
2152573480 1064041400 1935500 1062105280
2193743800 1095079680 2015960 1094563220
2155184040 1141548800 2102760 1137941100
1451574120 767681560 1421960 766258000
125520 52760 8000 43160
754155560 376348320 628960 375717760
1696395120 847592440 1579360 846011480
1792731320 896471560 1776640 894693320
1917434600 958740720 1949120 957632560
67346080 35038800 143360 34051280
25520 8000 3200 3200
8000 8000 3200 3200
50640 8000 3200 3200
10284240 8000 3200 3200
96200 8000 3200 3200
8000 8000 3200 3200
167311560 83665040 83450200 213240
109720 46440 33240 11600
60120 60120 34240 24280
8613800 8588120 4303280 4283240
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33120 33120 7160 24360
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
78360 60760 38480 20680
25520 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
31960 31960 3200 27160
25280 25280 3200 20480
10240 10240 3200 5440
108640 108640 3200 103840
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
15600 15600 3200 10800
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33040 33040 3200 28240
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
35840 35840 13560 20680
146800 129200 64000 63600
41200 23680 10320 11760
10240 10240 3200 5440
33080 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
68440 68440 25760 41080
