8000 8000 3200 1600
8000 8000 3200 3200
25800 25800 17120 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33200 33200 7200 24400
25680 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 8000 3200 3200
25600 25600 16920 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
8000 8000 3200 3200
8000 8000 3200 3200
25800 25800 17120 7080
8000 8000 3200 3200
33160 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33120 33120 3200 28320
25680 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 8000 3200 3200
25600 25600 16920 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
33080 8000 3200 3200
33120 33120 7200 24320
25800 25800 17120 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25680 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 8000 3200 3200
25600 25600 16920 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
8000 8000 3200 3200
8000 8000 3200 3200
25800 25800 17120 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33200 33200 7200 24400
25680 8000 3200 3200
81600 66880 44800 20480
8000 8000 3200 3200
137072120 113755520 69069920 44684000
112730360 90887760 61291560 29594600
250089720 209025080 115674680 93348800
117426400 77708800 59608320 18098880
13967880 9232600 9223320 7680
18129760 9793200 9788400 3200
6296800 4670320 4665520 3200
4930920 4928680 4910040 17040
8113560 8113560 8104280 7680
32640 28160 16640 9920
30280 30280 21600 7080
12480 8000 3200 3200
33160 8000 3200 3200
8000 8000 3200 3200
12480 12480 7680 3200
25636760 12819040 12734120 83320
33120 33120 5440 26080
1493720 947160 438320 73800
380800 352960 169200 182160
10240 10240 5440 3200
27960 8000 3200 3200
25600 25600 16920 7080
8000 8000 3200 3200
7386880 14703600 55880 7329400
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
33080 8000 3200 3200
33120 33120 7200 24320
180680 180680 24480 154600
113120 113120 23720 87800
76200 76200 69160 5440
129640 129640 9920 118120
112080 112080 5440 105040
12890040 12885560 12160 12871800
82040 82040 7680 72760
27920 10240 3200 5440
12480 8000 3200 3200
8000 8000 3200 3200
25720 8000 3200 3200
30080 30080 21400 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
8000 8000 3200 3200
8000 8000 3200 3200
27720 27720 19040 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
33200 33200 7200 24400
25680 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 8000 3200 3200
25600 25600 16920 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
12480 12480 7680 3200
25720 25720 7080 17040
12480 12480 3200 7680
25920 25920 14400 9920
33560 29080 20400 7080
8000 8000 3200 3200
37640 12480 7680 3200
63680 63680 25320 36760
57120 52640 13760 37280
10240 10240 3200 5440
84200 84200 20400 62200
27920 10240 3200 5440
12480 12480 7680 3200
8000 8000 3200 3200
115280 97560 58480 37480
27840 27840 16920 9320
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
504800 468240 437800 28840
33120 33120 7200 24320
29080 29080 20400 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25680 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 8000 3200 3200
30080 30080 16920 11560
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
8000 8000 3200 3200
8000 8000 3200 3200
29080 29080 20400 7080
8000 8000 3200 3200
78160 78160 50080 26480
50680 50680 17320 31760
22240 22240 3200 17440
16280 16280 9240 5440
46960 46960 7200 38160
88360 70680 25520 43560
10240 10240 3200 5440
8000 8000 3200 3200
25720 8000 3200 3200
25600 25600 16920 7080
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
25720 25720 7080 17040
8000 8000 3200 3200
8000 8000 3200 3200
50520 50520 41840 7080
46840 46840 42040 3200
25721040 38417720 25547160 92640
38600 38600 29640 7360
8000 8000 3200 3200
8000 8000 3200 3200
37600 37600 3200 32800
25680 8000 3200 3200
21440 21440 9920 9920
16960 12480 7680 3200
25720 8000 3200 3200
25600 25600 16920 7080
12480 12480 7680 3200
8000 8000 3200 3200
8000 8000 3200 3200
8000 8000 3200 3200
12480 8000 3200 3200
25720 25720 7080 17040
33080 8000 3200 3200
33120 33120 7200 24320
29160 29160 20480 7080
43760 43760 38960 3200
53200 53200 48400 3200
19000 19000 14200 3200
449400 449400 7680 440120
79200 79200 27680 49920
26240 26240 9240 15400
25680 8000 3200 3200
840440 840440 472280 366560
2161640 2117920 907560 971840
342640 2450000 107720 135280
15251760 15012600 166440 14564960
302240 300000 218680 79720
286680 294040 178600 106480
23560 7320400 5440 16520
8000 8000 3200 3200
8000 8000 3200 3200
40800 40800 7080 32120
8000 8000 3200 3200
8000 8000 3200 3200
40440 40440 31760 7080
8000 8000 3200 3200
63640 63640 58840 3200
